architecture,run_index,classification,total_elapsed_ns,business_logic_ns,server_duration_ns,success,timestamp,environment_id
mcp-isolated,0,cold,729836250,604396,1213836,True,2026-07-26T17:47:00.994787+00:00,Darwin-arm64-py3.14.6
mcp-isolated,1,warm,7724333,683896,1478891,True,2026-07-26T17:47:01.793786+00:00,Darwin-arm64-py3.14.6
mcp-isolated,2,warm,4166625,492254,1013233,True,2026-07-26T17:47:01.797996+00:00,Darwin-arm64-py3.14.6
mcp-isolated,3,warm,3992583,520353,1146635,True,2026-07-26T17:47:01.802008+00:00,Darwin-arm64-py3.14.6
mcp-isolated,4,warm,4135167,670389,1141048,True,2026-07-26T17:47:01.806160+00:00,Darwin-arm64-py3.14.6
mcp-isolated,5,warm,4443583,412672,1020027,True,2026-07-26T17:47:01.810624+00:00,Darwin-arm64-py3.14.6
mcp-isolated,6,warm,4524875,328086,809002,True,2026-07-26T17:47:01.815167+00:00,Darwin-arm64-py3.14.6
mcp-isolated,7,warm,3865500,382031,907177,True,2026-07-26T17:47:01.819055+00:00,Darwin-arm64-py3.14.6
mcp-isolated,8,warm,3559542,369483,825428,True,2026-07-26T17:47:01.822633+00:00,Darwin-arm64-py3.14.6
mcp-isolated,9,warm,3762084,358685,867949,True,2026-07-26T17:47:01.826415+00:00,Darwin-arm64-py3.14.6
mcp-isolated,10,warm,4110500,389994,941279,True,2026-07-26T17:47:01.830544+00:00,Darwin-arm64-py3.14.6
mcp-isolated,11,warm,3646083,364105,854359,True,2026-07-26T17:47:01.834207+00:00,Darwin-arm64-py3.14.6
mcp-isolated,12,warm,3424500,403709,871409,True,2026-07-26T17:47:01.837648+00:00,Darwin-arm64-py3.14.6
mcp-isolated,13,warm,3737125,398456,832639,True,2026-07-26T17:47:01.841404+00:00,Darwin-arm64-py3.14.6
mcp-isolated,14,warm,4261958,436684,943739,True,2026-07-26T17:47:01.845722+00:00,Darwin-arm64-py3.14.6
mcp-isolated,15,warm,4650541,583010,1287583,True,2026-07-26T17:47:01.850391+00:00,Darwin-arm64-py3.14.6
mcp-isolated,16,warm,4173250,471994,1010982,True,2026-07-26T17:47:01.854586+00:00,Darwin-arm64-py3.14.6
mcp-isolated,17,warm,3894583,417633,911806,True,2026-07-26T17:47:01.858501+00:00,Darwin-arm64-py3.14.6
mcp-isolated,18,warm,4222042,456278,1003603,True,2026-07-26T17:47:01.862748+00:00,Darwin-arm64-py3.14.6
mcp-isolated,19,warm,3922625,434016,964541,True,2026-07-26T17:47:01.866691+00:00,Darwin-arm64-py3.14.6
mcp-isolated,20,warm,3780959,507262,1121413,True,2026-07-26T17:47:01.870491+00:00,Darwin-arm64-py3.14.6
mcp-isolated,21,warm,3839000,524897,1135337,True,2026-07-26T17:47:01.874350+00:00,Darwin-arm64-py3.14.6
mcp-isolated,22,warm,6900709,531149,3689701,True,2026-07-26T17:47:01.881269+00:00,Darwin-arm64-py3.14.6
mcp-isolated,23,warm,3669458,435643,908387,True,2026-07-26T17:47:01.884958+00:00,Darwin-arm64-py3.14.6
mcp-isolated,24,warm,3746833,429430,885625,True,2026-07-26T17:47:01.888722+00:00,Darwin-arm64-py3.14.6
mcp-isolated,25,warm,4032209,537486,1162727,True,2026-07-26T17:47:01.892773+00:00,Darwin-arm64-py3.14.6
mcp-isolated,26,warm,3748958,398414,918559,True,2026-07-26T17:47:01.896540+00:00,Darwin-arm64-py3.14.6
mcp-isolated,27,warm,3826541,459989,973462,True,2026-07-26T17:47:01.900385+00:00,Darwin-arm64-py3.14.6
mcp-isolated,28,warm,3521125,375694,852441,True,2026-07-26T17:47:01.903924+00:00,Darwin-arm64-py3.14.6
mcp-isolated,29,warm,4055042,413464,971461,True,2026-07-26T17:47:01.907998+00:00,Darwin-arm64-py3.14.6
mcp-isolated,30,warm,5136708,630993,1375253,True,2026-07-26T17:47:01.913157+00:00,Darwin-arm64-py3.14.6
