architecture,run_index,classification,total_elapsed_ns,business_logic_ns,server_duration_ns,success,timestamp,environment_id
mcp-local,0,cold,293333916,165250,426458,True,2026-07-26T17:46:51.611671+00:00,Darwin-arm64-py3.14.6
mcp-local,1,warm,3841125,130166,441541,True,2026-07-26T17:46:51.954513+00:00,Darwin-arm64-py3.14.6
mcp-local,2,warm,2110833,128125,416334,True,2026-07-26T17:46:51.956651+00:00,Darwin-arm64-py3.14.6
mcp-local,3,warm,2109625,108333,397292,True,2026-07-26T17:46:51.958772+00:00,Darwin-arm64-py3.14.6
mcp-local,4,warm,2001500,110625,378792,True,2026-07-26T17:46:51.960784+00:00,Darwin-arm64-py3.14.6
mcp-local,5,warm,1985125,109209,437125,True,2026-07-26T17:46:51.962779+00:00,Darwin-arm64-py3.14.6
mcp-local,6,warm,2405333,118834,500417,True,2026-07-26T17:46:51.965195+00:00,Darwin-arm64-py3.14.6
mcp-local,7,warm,2069083,143458,462291,True,2026-07-26T17:46:51.967276+00:00,Darwin-arm64-py3.14.6
mcp-local,8,warm,1796083,97625,313000,True,2026-07-26T17:46:51.969081+00:00,Darwin-arm64-py3.14.6
mcp-local,9,warm,1805166,98209,318833,True,2026-07-26T17:46:51.970895+00:00,Darwin-arm64-py3.14.6
mcp-local,10,warm,1907792,112875,400541,True,2026-07-26T17:46:51.972813+00:00,Darwin-arm64-py3.14.6
mcp-local,11,warm,1892792,105875,339708,True,2026-07-26T17:46:51.974715+00:00,Darwin-arm64-py3.14.6
mcp-local,12,warm,1947250,128750,380292,True,2026-07-26T17:46:51.976677+00:00,Darwin-arm64-py3.14.6
mcp-local,13,warm,1858375,112292,339583,True,2026-07-26T17:46:51.978544+00:00,Darwin-arm64-py3.14.6
mcp-local,14,warm,2613167,185458,730916,True,2026-07-26T17:46:51.981167+00:00,Darwin-arm64-py3.14.6
mcp-local,15,warm,2003292,138708,400708,True,2026-07-26T17:46:51.983184+00:00,Darwin-arm64-py3.14.6
mcp-local,16,warm,1769167,97791,319167,True,2026-07-26T17:46:51.984962+00:00,Darwin-arm64-py3.14.6
mcp-local,17,warm,1796958,91042,316209,True,2026-07-26T17:46:51.986767+00:00,Darwin-arm64-py3.14.6
mcp-local,18,warm,1822625,108750,331958,True,2026-07-26T17:46:51.988598+00:00,Darwin-arm64-py3.14.6
mcp-local,19,warm,1842875,110125,356625,True,2026-07-26T17:46:51.990449+00:00,Darwin-arm64-py3.14.6
mcp-local,20,warm,1968458,107750,357041,True,2026-07-26T17:46:51.992427+00:00,Darwin-arm64-py3.14.6
mcp-local,21,warm,1782458,112916,330709,True,2026-07-26T17:46:51.994220+00:00,Darwin-arm64-py3.14.6
mcp-local,22,warm,1981791,95875,329208,True,2026-07-26T17:46:51.996211+00:00,Darwin-arm64-py3.14.6
mcp-local,23,warm,2176333,147292,398542,True,2026-07-26T17:46:51.998401+00:00,Darwin-arm64-py3.14.6
mcp-local,24,warm,1842833,107958,376583,True,2026-07-26T17:46:52.000253+00:00,Darwin-arm64-py3.14.6
mcp-local,25,warm,1762084,86167,331583,True,2026-07-26T17:46:52.002023+00:00,Darwin-arm64-py3.14.6
mcp-local,26,warm,1778333,84083,299833,True,2026-07-26T17:46:52.003813+00:00,Darwin-arm64-py3.14.6
mcp-local,27,warm,2210416,157417,443792,True,2026-07-26T17:46:52.006036+00:00,Darwin-arm64-py3.14.6
mcp-local,28,warm,2241292,156125,484583,True,2026-07-26T17:46:52.008293+00:00,Darwin-arm64-py3.14.6
mcp-local,29,warm,2332584,178500,506791,True,2026-07-26T17:46:52.010641+00:00,Darwin-arm64-py3.14.6
mcp-local,30,warm,2310625,154375,459000,True,2026-07-26T17:46:52.012965+00:00,Darwin-arm64-py3.14.6
