architecture,run_index,classification,total_elapsed_ns,business_logic_ns,server_duration_ns,success,timestamp,environment_id
skill,0,cold,51401417,678500,,True,2026-07-26T17:46:49.459342+00:00,Darwin-arm64-py3.14.6
skill,1,warm,43306959,177792,,True,2026-07-26T17:46:49.503150+00:00,Darwin-arm64-py3.14.6
skill,2,warm,42217750,129958,,True,2026-07-26T17:46:49.545477+00:00,Darwin-arm64-py3.14.6
skill,3,warm,42379209,143459,,True,2026-07-26T17:46:49.587951+00:00,Darwin-arm64-py3.14.6
skill,4,warm,42797541,139167,,True,2026-07-26T17:46:49.630850+00:00,Darwin-arm64-py3.14.6
skill,5,warm,42600208,122541,,True,2026-07-26T17:46:49.673546+00:00,Darwin-arm64-py3.14.6
skill,6,warm,43193792,119042,,True,2026-07-26T17:46:49.716835+00:00,Darwin-arm64-py3.14.6
skill,7,warm,43544833,135375,,True,2026-07-26T17:46:49.760477+00:00,Darwin-arm64-py3.14.6
skill,8,warm,50108875,151291,,True,2026-07-26T17:46:49.810683+00:00,Darwin-arm64-py3.14.6
skill,9,warm,48260750,141333,,True,2026-07-26T17:46:49.859038+00:00,Darwin-arm64-py3.14.6
skill,10,warm,46568792,174042,,True,2026-07-26T17:46:49.905718+00:00,Darwin-arm64-py3.14.6
skill,11,warm,45390708,125625,,True,2026-07-26T17:46:49.951213+00:00,Darwin-arm64-py3.14.6
skill,12,warm,43564833,123834,,True,2026-07-26T17:46:49.994869+00:00,Darwin-arm64-py3.14.6
skill,13,warm,43604334,170917,,True,2026-07-26T17:46:50.038565+00:00,Darwin-arm64-py3.14.6
skill,14,warm,43328500,119709,,True,2026-07-26T17:46:50.081979+00:00,Darwin-arm64-py3.14.6
skill,15,warm,42466750,125833,,True,2026-07-26T17:46:50.124532+00:00,Darwin-arm64-py3.14.6
skill,16,warm,43904333,180584,,True,2026-07-26T17:46:50.168541+00:00,Darwin-arm64-py3.14.6
skill,17,warm,42352583,128541,,True,2026-07-26T17:46:50.210988+00:00,Darwin-arm64-py3.14.6
skill,18,warm,42890584,161584,,True,2026-07-26T17:46:50.253975+00:00,Darwin-arm64-py3.14.6
skill,19,warm,44144667,149875,,True,2026-07-26T17:46:50.298214+00:00,Darwin-arm64-py3.14.6
skill,20,warm,49183917,168750,,True,2026-07-26T17:46:50.347545+00:00,Darwin-arm64-py3.14.6
skill,21,warm,48280500,263375,,True,2026-07-26T17:46:50.395974+00:00,Darwin-arm64-py3.14.6
skill,22,warm,48391958,171875,,True,2026-07-26T17:46:50.444460+00:00,Darwin-arm64-py3.14.6
skill,23,warm,46476125,136042,,True,2026-07-26T17:46:50.491050+00:00,Darwin-arm64-py3.14.6
skill,24,warm,49916416,143417,,True,2026-07-26T17:46:50.541094+00:00,Darwin-arm64-py3.14.6
skill,25,warm,43321000,123375,,True,2026-07-26T17:46:50.584533+00:00,Darwin-arm64-py3.14.6
skill,26,warm,75733750,631291,,True,2026-07-26T17:46:50.660362+00:00,Darwin-arm64-py3.14.6
skill,27,warm,46269250,122208,,True,2026-07-26T17:46:50.706719+00:00,Darwin-arm64-py3.14.6
skill,28,warm,43260958,121084,,True,2026-07-26T17:46:50.750067+00:00,Darwin-arm64-py3.14.6
skill,29,warm,42701500,128792,,True,2026-07-26T17:46:50.792853+00:00,Darwin-arm64-py3.14.6
skill,30,warm,46432125,182375,,True,2026-07-26T17:46:50.839377+00:00,Darwin-arm64-py3.14.6
